model-name,setting,metric,step,value
centralised-beamsoup-coord,train,loss,0,9.92149543762207
centralised-beamsoup-coord,train,loss,1,5.057400226593018
centralised-beamsoup-coord,train,loss,2,4.542828559875488
centralised-beamsoup-coord,train,loss,3,4.143009185791016
centralised-beamsoup-coord,train,loss,4,3.8939974308013916
centralised-beamsoup-coord,train,loss,5,3.713968515396118
centralised-beamsoup-coord,train,loss,6,3.5627567768096924
centralised-beamsoup-coord,train,loss,7,3.420320987701416
centralised-beamsoup-coord,train,loss,8,3.344684362411499
centralised-beamsoup-coord,train,loss,9,3.276484489440918
centralised-beamsoup-coord,train,loss,10,3.205028772354126
centralised-beamsoup-coord,train,loss,11,3.1792104244232178
centralised-beamsoup-coord,train,loss,12,3.156944990158081
centralised-beamsoup-coord,train,loss,13,3.106736660003662
centralised-beamsoup-coord,train,loss,14,3.077908992767334
centralised-beamsoup-coord,train,loss,15,3.0883195400238037
centralised-beamsoup-coord,train,loss,16,3.0716030597686768
centralised-beamsoup-coord,train,loss,17,3.0540997982025146
centralised-beamsoup-coord,train,loss,18,3.032930374145508
centralised-beamsoup-coord,train,loss,19,3.024770498275757
centralised-beamsoup-coord,train,loss,20,2.983652353286743
centralised-beamsoup-coord,train,loss,21,2.9844164848327637
centralised-beamsoup-coord,train,loss,22,2.9835586547851562
centralised-beamsoup-coord,train,loss,23,2.9898858070373535
centralised-beamsoup-coord,train,loss,24,2.978764057159424
centralised-beamsoup-coord,train,loss,25,2.9639835357666016
centralised-beamsoup-coord,train,loss,26,2.9581854343414307
centralised-beamsoup-coord,train,loss,27,2.967249870300293
centralised-beamsoup-coord,train,loss,28,2.9554250240325928
centralised-beamsoup-coord,train,loss,29,2.9592082500457764
centralised-beamsoup-coord,train,top-1-accuracy,0,0.10060645639896393
centralised-beamsoup-coord,train,top-1-accuracy,1,0.1281134933233261
centralised-beamsoup-coord,train,top-1-accuracy,2,0.13894303143024445
centralised-beamsoup-coord,train,top-1-accuracy,3,0.14923110604286194
centralised-beamsoup-coord,train,top-1-accuracy,4,0.16222655773162842
centralised-beamsoup-coord,train,top-1-accuracy,5,0.16785791516304016
centralised-beamsoup-coord,train,top-1-accuracy,6,0.17489711940288544
centralised-beamsoup-coord,train,top-1-accuracy,7,0.18323586881160736
centralised-beamsoup-coord,train,top-1-accuracy,8,0.18496859073638916
centralised-beamsoup-coord,train,top-1-accuracy,9,0.19124972820281982
centralised-beamsoup-coord,train,top-1-accuracy,10,0.1975308656692505
centralised-beamsoup-coord,train,top-1-accuracy,11,0.19980506598949432
centralised-beamsoup-coord,train,top-1-accuracy,12,0.20316222310066223
centralised-beamsoup-coord,train,top-1-accuracy,13,0.21225903928279877
centralised-beamsoup-coord,train,top-1-accuracy,14,0.21648256480693817
centralised-beamsoup-coord,train,top-1-accuracy,15,0.20879359543323517
centralised-beamsoup-coord,train,top-1-accuracy,16,0.2128005176782608
centralised-beamsoup-coord,train,top-1-accuracy,17,0.21810699999332428
centralised-beamsoup-coord,train,top-1-accuracy,18,0.228178471326828
centralised-beamsoup-coord,train,top-1-accuracy,19,0.2265540361404419
centralised-beamsoup-coord,train,top-1-accuracy,20,0.23738358914852142
centralised-beamsoup-coord,train,top-1-accuracy,21,0.23749187588691711
centralised-beamsoup-coord,train,top-1-accuracy,22,0.23879142105579376
centralised-beamsoup-coord,train,top-1-accuracy,23,0.23489278554916382
centralised-beamsoup-coord,train,top-1-accuracy,24,0.23998267948627472
centralised-beamsoup-coord,train,top-1-accuracy,25,0.23976607620716095
centralised-beamsoup-coord,train,top-1-accuracy,26,0.23781676590442657
centralised-beamsoup-coord,train,top-1-accuracy,27,0.23380982875823975
centralised-beamsoup-coord,train,top-1-accuracy,28,0.23868313431739807
centralised-beamsoup-coord,train,top-1-accuracy,29,0.23889972269535065
centralised-beamsoup-coord,train,top-10-accuracy,0,0.5005414485931396
centralised-beamsoup-coord,train,top-10-accuracy,1,0.5752653479576111
centralised-beamsoup-coord,train,top-10-accuracy,2,0.6008230447769165
centralised-beamsoup-coord,train,top-10-accuracy,3,0.6316872239112854
centralised-beamsoup-coord,train,top-10-accuracy,4,0.6478232741355896
centralised-beamsoup-coord,train,top-10-accuracy,5,0.6623348593711853
centralised-beamsoup-coord,train,top-10-accuracy,6,0.6804201602935791
centralised-beamsoup-coord,train,top-10-accuracy,7,0.696881115436554
centralised-beamsoup-coord,train,top-10-accuracy,8,0.701646089553833
centralised-beamsoup-coord,train,top-10-accuracy,9,0.714749813079834
centralised-beamsoup-coord,train,top-10-accuracy,10,0.7279618978500366
centralised-beamsoup-coord,train,top-10-accuracy,11,0.7333766222000122
centralised-beamsoup-coord,train,top-10-accuracy,12,0.7363006472587585
centralised-beamsoup-coord,train,top-10-accuracy,13,0.7541693449020386
centralised-beamsoup-coord,train,top-10-accuracy,14,0.7562270164489746
centralised-beamsoup-coord,train,top-10-accuracy,15,0.7537361979484558
centralised-beamsoup-coord,train,top-10-accuracy,16,0.7543859481811523
centralised-beamsoup-coord,train,top-10-accuracy,17,0.7630496025085449
centralised-beamsoup-coord,train,top-10-accuracy,18,0.7672731280326843
centralised-beamsoup-coord,train,top-10-accuracy,19,0.7731210589408875
centralised-beamsoup-coord,train,top-10-accuracy,20,0.7796187996864319
centralised-beamsoup-coord,train,top-10-accuracy,21,0.7796187996864319
centralised-beamsoup-coord,train,top-10-accuracy,22,0.7849252820014954
centralised-beamsoup-coord,train,top-10-accuracy,23,0.7800520062446594
centralised-beamsoup-coord,train,top-10-accuracy,24,0.7805934548377991
centralised-beamsoup-coord,train,top-10-accuracy,25,0.7838423252105713
centralised-beamsoup-coord,train,top-10-accuracy,26,0.7786441445350647
centralised-beamsoup-coord,train,top-10-accuracy,27,0.7864413857460022
centralised-beamsoup-coord,train,top-10-accuracy,28,0.7891488075256348
centralised-beamsoup-coord,train,top-10-accuracy,29,0.7879575490951538
centralised-beamsoup-coord,train,top-1-throughput,0,0.15839199721813202
centralised-beamsoup-coord,train,top-1-throughput,1,0.1940968930721283
centralised-beamsoup-coord,train,top-1-throughput,2,0.2109423130750656
centralised-beamsoup-coord,train,top-1-throughput,3,0.2252240926027298
centralised-beamsoup-coord,train,top-1-throughput,4,0.23668350279331207
centralised-beamsoup-coord,train,top-1-throughput,5,0.24524079263210297
centralised-beamsoup-coord,train,top-1-throughput,6,0.25751549005508423
centralised-beamsoup-coord,train,top-1-throughput,7,0.2677759528160095
centralised-beamsoup-coord,train,top-1-throughput,8,0.2729094326496124
centralised-beamsoup-coord,train,top-1-throughput,9,0.27848467230796814
centralised-beamsoup-coord,train,top-1-throughput,10,0.2863776981830597
centralised-beamsoup-coord,train,top-1-throughput,11,0.28706520795822144
centralised-beamsoup-coord,train,top-1-throughput,12,0.29245951771736145
